name,suited for,Age group of people buy,body type,fuel type,Price (in lakh),keywords
jcb,"personal,public","30,32,34",compact wheel,"cng,petrol",36,"comfort driving, best,in,class cabin, long lasting structure"
schwing stetter,"personal,public","30,32,34",compact wheel,diesel,16," strong and reliable power train, z , bar linkage for greater digging power"
mahindra a1,"personal,public","30,32,34",medium wheel,diesel,54, turbocharged intercooled diesel engine
sem,"personal,public","30,32,34",dozer,diesel,89," efficient,reliable, comfortable operation"
cat a1,"personal,public","30,32,34",large wheel,diesel,63,"cheap, less maintainance"
cat a2,"personal,public","30,32,34",compact wheel,diesel,36,"durable, high performance"
case,"personal,public","30,32,34",dozer,diesel,37," turbine type pre,filter,frontal transmission protection"
mahindra a2,"personal,public","21,32,45,57,68",,diesel,68," low maintenance cost, efficient, fine built"
komastu,"personal,public","25,28,31,36",dozer,diesel,54," high capacity air conditioning system, excellent visibility without rops post"
ace,"personal,public","21,32,45,57,68",medium wheel,diesel,22," cheap, durable, low maintainance"
volvo a1,"personal,public","25,28,31,36",large wheel,diesel,98," torque multiplication 2.85:1, maximum speed, forward/reverse"
volvo a2,"personal,public","25,28,31,36",medium wheel,diesel,35," cheap, durable, low maintainance"
luigong,"personal,public","25,28,31,36",medium wheel,diesel,78, most efficiently
tata,personal-public,25-28-31-36,medium wheel,diesel,42.5, rich industry experience & knowledge
monitau,personal-public,30-32-34,compact wheel,diesel,46, cheap- durable- low maintainance
l&t,personal-public,30-32-34,medium wheel,diesel,3,cheap- low performance
